date,value,cash,SPY_weight,TLT_weight,GLD_weight,SHV_weight
2020-09-01,265171.1770315502,-8.323562028894234,0.23846344558314742,0.262850351676197,0.2795589333171742,0.21915865881550378
2020-09-02,265781.11053532857,-8.323562028894234,0.24135747597815405,0.26474378885544825,0.2752547538822194,0.21867529864157864
2020-09-03,263175.30788130156,-8.323562028894234,0.23535885668237977,0.2681247199481876,0.27572733635165864,0.2208207144606976
2020-09-04,261529.96814512118,-8.323562028894234,0.23490581312452882,0.26468819761839685,0.2782278719084292,0.22220994376642794
2020-09-08,260136.53232050996,-8.323562028894234,0.2297114630754401,0.2677410808840569,0.27917922923127325,0.22340022370699195
2020-09-09,261834.49109773157,-8.323562028894234,0.23272856965643554,0.26529016946206774,0.28006154469312955,0.22195150559087876
2020-09-10,260893.13197917197,-8.323562028894234,0.22951275410626004,0.26760066863871745,0.28016612650213335,0.22275235485847347
2020-09-11,261068.40278137563,-8.323562028894234,0.2294753815142592,0.2679910036331554,0.2799626896326783,0.2226028079063611
2020-09-14,262430.1156961102,-8.323562028894234,0.23129135350619942,0.26658444718856844,0.2807081632736806,0.22144775328323515
2020-09-15,262390.4116521309,-8.323562028894234,0.2324952054172503,0.26597637733518475,0.2800788772782097,0.22148126202038798
2020-09-16,262148.1600534082,-8.323562028894234,0.23178647715510725,0.2654270082826657,0.2811323326641126,0.22168593326355304
2020-09-17,261421.8318485438,-8.323562028894234,0.23038619368638266,0.26697807354844677,0.2803657121557276,0.22230186019212067
2020-09-18,260607.64175369145,-8.323562028894234,0.22844528839981199,0.26697972273519266,0.2816105525126177,0.22299637540824294
2020-09-21,258823.90144235472,-8.323562028894234,0.22745965124649223,0.27018376430815016,0.27785554096009973,0.22453320265596238
2020-09-22,259019.6636589883,-8.323562028894234,0.22960254913991981,0.26976607969267535,0.2763000013713503,0.22436350466145938
2020-09-23,256187.71628876321,-8.323562028894234,0.22675709588692025,0.273113325476666,0.2733184075370179,0.22684366118966828
2020-09-24,256870.9278949182,-8.323562028894234,0.22675673296397877,0.2734302074359089,0.2736051487675384,0.22624031450743545
2020-09-25,257612.31435218066,-8.323562028894234,0.22975958603003893,0.2726432984198969,0.2720402119569487,0.2255892140129408
