date,open,high,low,close,volume,amount
2020-04-10,3794.8429,3824.7441,3758.9599,3769.1782,10244495600,162251233800.7000
2020-04-13,3751.7093,3769.8764,3740.1936,3753.2566,7905334300,119874303204.6000
2020-04-14,3777.8343,3825.7599,3764.9838,3825.6991,11063758500,170612579792.4000
2020-04-15,3820.8506,3829.8009,3793.4402,3797.3623,10846198400,169700216633.0000
2020-04-16,3777.7986,3807.3569,3774.5585,3802.3806,9594796500,147164302056.9000
2020-04-17,3831.9232,3863.4521,3821.4201,3839.4871,13200430100,203595267033.5000
2020-04-20,3845.4598,3853.7984,3831.5530,3853.4551,10001311500,151924090117.0000
2020-04-21,3838.2314,3838.2314,3779.9967,3808.0474,10292188800,155077454132.0000
2020-04-22,3789.1297,3839.3834,3782.2149,3839.3834,8589946400,135547280790.0000
2020-04-23,3851.9132,3857.4709,3826.5565,3829.7525,9550845000,142122548831.8000
2020-04-24,3826.3116,3827.2120,3787.0714,3796.9721,9484413500,138961200282.7000
2020-04-27,3808.0171,3842.8706,3793.7655,3822.7690,9546273500,145301151875.0000
2020-04-28,3835.3480,3859.6754,3768.2000,3849.1465,12209347600,184179759240.3000
2020-04-29,3837.5135,3880.7444,3833.7164,3867.0320,9585459000,151282103744.2000
2020-04-30,3880.4094,3921.7004,3880.4094,3912.5772,13291712500,202268288802.3000
2020-05-06,3867.2587,3937.6909,3865.9875,3936.2539,13985567500,214935962364.4000
2020-05-07,3937.5918,3941.4833,3915.9048,3924.8946,10551464600,167207801840.2000
2020-05-08,3942.9972,3979.6627,3935.9805,3963.6217,11694334100,190299584716.9000
2020-05-11,3974.7605,3998.0972,3944.5037,3960.1803,12267380300,193758093899.8000
2020-05-12,3961.3427,3970.1115,3930.2108,3960.2378,9825055400,157465780059.9000
2020-05-13,3946.6428,3972.5254,3932.5711,3968.2529,8819066900,145563383275.8000
2020-05-14,3952.1986,3952.1986,3924.0452,3925.2177,8853000400,143499177719.8000
2020-05-15,3941.1250,3945.1956,3907.4021,3912.8159,9261838200,153301505149.4000
2020-05-18,3914.6602,3946.4312,3898.4041,3922.9117,11280176200,188528121367.6000
2020-05-19,3963.7754,3966.8518,3944.0715,3956.2495,9401529100,159886222402.2000
2020-05-20,3955.7145,3955.7145,3923.9213,3935.2220,10079115000,157102533276.1000
2020-05-21,3950.5981,3951.7430,3907.5788,3913.7949,9486103300,149154142257.8000
2020-05-22,3907.5761,3907.5761,3818.1488,3824.0640,10337836000,157286504986.3000
2020-05-25,3828.3206,3835.6333,3800.1796,3829.3245,7903332600,127011917716.3000
2020-05-26,3850.0009,3874.7484,3844.4776,3872.7701,7744807600,125445619316.8000
2020-05-27,3873.6984,3873.6984,3838.4247,3845.6135,8371183100,123737501165.0000
2020-05-28,3848.4892,3885.4211,3818.4318,3856.6324,9306405400,139108407792.0000
2020-05-29,3838.3769,3872.3031,3830.4185,3867.0232,9381383200,135658136028.2000
2020-06-01,3901.7263,3976.3151,3901.7263,3971.3402,13645665200,208436512945.1000
2020-06-02,3969.9521,3991.7761,3958.9774,3983.5677,14430306000,195563304256.3000
2020-06-03,4001.1708,4018.6759,3982.9299,3983.6477,13659748300,200882767676.9000
2020-06-04,3998.1636,3999.8051,3968.5723,3982.1851,10427773700,149057855837.5000
2020-06-05,3988.2239,4001.2509,3967.9260,4001.2509,10244394200,154311342981.8000
2020-06-08,4023.6060,4050.2213,4016.1015,4021.9549,13792581300,193047518687.6000
2020-06-09,4027.5613,4052.1557,4016.3387,4047.0293,11530447900,166533966010.0000
2020-06-10,4046.2317,4046.2317,4024.4185,4039.7051,11226572800,166778642366.2000
2020-06-11,4031.7396,4043.0123,3979.7522,3995.8846,12730894100,197079441861.1000
2020-06-12,3931.6236,4011.0591,3927.2491,4003.0829,13416664900,193504046742.3000
2020-06-15,3982.9672,4007.1396,3954.9883,3954.9883,13129786000,211125336143.8000
2020-06-16,3995.5786,4014.5702,3987.8637,4014.5702,11105153900,185104029158.9000
2020-06-17,4018.6094,4018.6094,3992.1339,4017.5941,10560579900,176977503611.2000
2020-06-18,4009.7831,4047.5566,4000.9008,4044.3842,13814876100,210192918146.2000
2020-06-19,4047.0483,4109.3602,4043.4925,4098.7095,15294699000,255549797299.6000
2020-06-22,4097.5071,4126.9421,4088.7822,4102.0459,15582946500,259200520725.7000
2020-06-23,4098.0373,4124.7250,4080.7533,4121.7944,12922951000,234806510834.5000
2020-06-24,4128.1003,4144.6782,4123.3582,4138.9895,12171246500,224551430008.0000
2020-06-29,4127.9348,4137.3696,4092.5352,4109.7164,13086585400,226522059762.9000
2020-06-30,4130.0028,4174.4236,4129.7754,4163.9637,12593352100,227935704488.9000
2020-07-01,4172.6425,4247.7835,4163.4954,4247.7835,16999045600,305711799762.0000
2020-07-02,4239.4080,4340.1039,4238.1164,4335.8445,25293936800,399571526695.3000
2020-07-03,4353.1937,4419.5955,4348.4535,4419.5955,29048553900,442335024266.1000
2020-07-06,4465.8081,4678.1121,4465.8081,4670.0949,40582102500,597438217716.0000
2020-07-07,4739.6104,4796.3155,4688.0574,4698.1264,40600855300,635254742706.0000
2020-07-08,4692.8621,4803.3643,4670.6501,4774.0042,34807484700,532849825964.5000
2020-07-09,4770.0769,4854.1201,4757.2943,4840.7712,35104689300,556718732098.9000
2020-07-10,4796.0873,4821.3745,4734.4725,4753.1333,31694965100,510472055095.9000
2020-07-13,4742.3738,4878.0773,4741.8743,4852.9612,32164544600,541105098721.0000
2020-07-14,4836.1655,4860.4404,4729.9258,4806.6902,29724198500,511211048184.9000
2020-07-15,4821.5155,4837.4757,4723.3608,4744.4687,27238900600,486748347680.4000
2020-07-16,4741.5295,4772.5638,4513.6537,4516.2532,28465713300,511237962884.2000
2020-07-17,4524.7717,4601.3733,4485.8214,4544.7007,20737556300,372973887046.0000
2020-07-20,4597.2038,4681.9431,4534.2305,4680.3046,24606891400,416714222275.7000
2020-07-21,4697.5026,4714.2925,4661.4440,4691.0425,20041565900,356069805762.6000
2020-07-22,4682.6575,4790.4491,4675.3488,4714.4454,22419921100,386470859914.3000
2020-07-23,4668.7401,4731.4004,4607.6585,4712.4357,23431456900,405175268660.9000
2020-07-24,4679.0273,4691.6980,4479.3928,4505.5906,24390520300,437726712279.7000
2020-07-27,4535.0053,4558.1189,4482.4408,4528.4500,17142055100,301893370163.2000
2020-07-28,4567.6691,4590.2496,4537.6849,4568.2576,16276849800,292835785345.2000
2020-07-29,4559.1634,4680.5580,4548.8535,4679.0080,18669530500,350432649160.5000
2020-07-30,4689.7632,4704.6305,4649.7677,4656.1506,16696756600,324009242692.4000
2020-07-31,4652.1824,4741.8084,4621.9635,4695.0462,18483902600,351119312415.0000
2020-08-03,4735.8985,4771.3694,4720.0250,4771.3108,21477623900,401914824928.3000
2020-08-04,4778.4866,4807.0782,4747.7748,4775.8024,23997498500,426411345935.8000
2020-08-05,4761.7637,4786.7031,4711.2723,4777.1089,19670054800,347407839399.1000
2020-08-06,4779.2377,4791.8565,4691.1569,4762.7642,22785440600,404323404006.9000
2020-08-07,4742.2939,4749.0217,4637.8427,4707.9262,21351821600,397041212825.0000
2020-08-10,4681.7553,4757.6634,4646.2885,4724.8697,20378883200,371297560017.6000
